DateVal,CMODateCount,CumCases,DailyDeaths,CumDeaths,GrowthFactor,GF5DayEMA,GF14DayEMA,GrowthFactorDeaths,GFD14DayEMA,GrowthDerivative,Year,Month,Day,Week
2020-03-24,1427,8077,87.0,422.0,1.4756980351602895,1.3100111528549916,1.314556015989156,1.6111111111111112,1.210665204707753,460,2020,3,24,13
2020-03-25,1452,9529,41.0,463.0,1.017519271198318,1.2125138589694338,1.274951116683711,0.47126436781609193,1.1120784264555317,25,2020,3,25,13
2020-03-26,2129,11658,115.0,578.0,1.4662534435261707,1.2970937204883461,1.300458093596039,2.8048780487804876,1.3377850427655258,677,2020,3,26,13
2020-03-27,2885,14543,181.0,759.0,1.3550962893377172,1.3164279101048033,1.3077431863615963,1.5739130434782609,1.3692687761938904,756,2020,3,27,13
2020-03-28,2546,17089,260.0,1019.0,0.8824956672443675,1.171783829151325,1.2510435171459657,1.4364640883977902,1.3782281511544103,-339,2020,3,28,13
2020-03-29,2433,19522,209.0,1228.0,0.9556166535742341,1.0997281039589613,1.211653268669735,0.8038461538461539,1.3016438848466427,-113,2020,3,29,13
2020-03-30,2619,22141,180.0,1408.0,1.0764488286066585,1.0919683455081937,1.1936260099946583,0.861244019138756,1.2429239027522578,186,2020,3,30,14
2020-03-31,3009,25150,381.0,1789.0,1.1489117983963344,1.1109494964709072,1.1876641151148817,2.1166666666666667,1.3594229379408456,390,2020,3,31,14
2020-04-01,4324,29474,563.0,2352.0,1.4370222665337322,1.2196404198251822,1.220911868637395,1.4776902887139107,1.375191918043921,1315,2020,4,1,14
2020-04-02,4244,33718,569.0,2921.0,0.9814986123959297,1.1402598173487648,1.188990101138533,1.0106571936056838,1.3265872881188228,-80,2020,4,2,14
2020-04-03,4450,38168,684.0,3605.0,1.0485391140433553,1.109686249580295,1.170263302859176,1.2021089630931459,1.3099901781153993,206,2020,4,3,14
2020-04-04,3735,41903,708.0,4313.0,0.8393258426966292,1.0195661139524064,1.1261383081708365,1.0350877192982457,1.273336516939779,-715,2020,4,4,14
2020-04-05,5914,47806,621.0,4934.0,1.583400267737617,1.20751083188081,1.1871065694464074,0.8771186440677966,1.2205074672235148,2179,2020,4,5,14
2020-04-06,3802,51608,439.0,5373.0,0.6428812986134596,1.01930098745836,1.1145432000020143,0.7069243156199678,1.152029713676375,-2112,2020,4,6,15
2020-04-07,3634,55242,786.0,6159.0,0.9558127301420305,0.9981382350195837,1.0933791373540165,1.7904328018223234,1.2371501254291681,-168,2020,4,7,15
2020-04-08,5491,60733,938.0,7097.0,1.5110071546505228,1.1690945415632301,1.1490628729935506,1.193384223918575,1.2313146718944223,1857,2020,4,8,15
2020-04-09,4344,65077,881.0,7978.0,0.79111272992169,1.0431006043493833,1.1013361872506358,0.9392324093816631,1.1923703702260544,-1147,2020,4,9,15
2020-04-10,5706,73758,980.0,8958.0,1.3135359116022098,1.133245706766992,1.1296294838308456,1.112372304199773,1.1817039614225504,1362,2020,4,10,15
2020-04-11,5234,78991,917.0,9875.0,0.9172800560813179,1.061257156538434,1.1013162267975753,0.9357142857142857,1.148905337994782,-472,2020,4,11,15
2020-04-12,5288,84279,737.0,10612.0,1.0103171570500573,1.0442771567089753,1.0891830174979062,0.8037077426390403,1.1028789919473498,54,2020,4,12,15
2020-04-13,4342,88621,717.0,11329.0,0.8211043872919819,0.9698862335699775,1.0534392001371164,0.9728629579375848,1.085543520746048,-946,2020,4,13,16
2020-04-14,5252,93873,778.0,12107.0,1.2095808383233533,1.0497844351544363,1.0742580852286148,1.085076708507671,1.0854812791142643,910,2020,4,14,16
2020-04-15,4605,98476,761.0,12868.0,0.8768088347296268,0.9921259016794999,1.0479315184954163,0.9781491002570694,1.071170321933305,-647,2020,4,15,16
2020-04-16,4618,103093,861.0,13729.0,1.0028230184581977,0.9956916072723992,1.0419170518237872,1.1314060446780552,1.0792017516326051,13,2020,4,16,16
2020-04-17,5599,108692,847.0,14576.0,1.2124296232135123,1.0679376125861038,1.0646520613424173,0.983739837398374,1.0664734964013745,981,2020,4,17,16
